,model,rank,alpha,root,topK,NDCG,Precision@5,Precision@10,Precision@15,Precision@20,Precision@50,R-Precision,Recall@5,Recall@10,Recall@15,Recall@20,Recall@50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,model,NDCG,Precision@5,Precision@10,Precision@15,Precision@20,R-Precision,Recall@5,Recall@10,Recall@15,Recall@20
,,,,,,,,,,,,,,,,,,,,,,PLRec,"[0.1622, 0.0007]","[0.1213, 0.0009]","[0.1105, 0.0007]","[0.1032, 0.0006]","[0.0976, 0.0006]","[0.089, 0.0005]","[0.042, 0.0005]","[0.0754, 0.0006]","[0.1033, 0.0008]","[0.1277, 0.0009]"
,,,,,,,,,,,,,,,,,,,,,,PureSVD,"[0.1615, 0.0007]","[0.1207, 0.0009]","[0.11, 0.0007]","[0.1027, 0.0006]","[0.0972, 0.0006]","[0.0884, 0.0005]","[0.0416, 0.0005]","[0.0749, 0.0006]","[0.1029, 0.0008]","[0.1273, 0.0009]"
,,,,,,,,,,,,,,,,,,,,,,ALS,"[0.1832, 0.0008]","[0.1213, 0.0009]","[0.1127, 0.0007]","[0.107, 0.0006]","[0.1028, 0.0006]","[0.0929, 0.0006]","[0.0451, 0.0005]","[0.0823, 0.0007]","[0.1161, 0.0009]","[0.1476, 0.001]"
,,,,,,,,,,,,,,,,,,,,,,CML,"[0.1755, 0.0008]","[0.1191, 0.001]","[0.1125, 0.0008]","[0.1076, 0.0007]","[0.1036, 0.0006]","[0.0897, 0.0006]","[0.0392, 0.0005]","[0.0741, 0.0007]","[0.1064, 0.0008]","[0.1363, 0.0009]"
,,,,,,,,,,,,,,,,,,,,,,AutoRec,"[0.1193, 0.0007]","[0.0947, 0.0009]","[0.0854, 0.0007]","[0.0792, 0.0006]","[0.075, 0.0006]","[0.0678, 0.0005]","[0.0328, 0.0004]","[0.058, 0.0006]","[0.0781, 0.0007]","[0.0973, 0.0008]"
,,,,,,,,,,,,,,,,,,,,,,PmiWPLRec,"[0.1968, 0.0009]","[0.1407, 0.0011]","[0.1282, 0.0008]","[0.1202, 0.0007]","[0.1143, 0.0007]","[0.103, 0.0006]","[0.0497, 0.0005]","[0.0894, 0.0007]","[0.1245, 0.0009]","[0.1565, 0.001]"
