model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,200,1,1E-05,300,Cosine,0.2,1,,"[0.0562, 0.0013]","[0.0089, 0.0003]","[0.0077, 0.0002]","[0.0068, 0.0002]","[0.0115, 0.0004]","[0.0044, 0.0001]","[0.0175, 0.001]","[0.0586, 0.0018]","[0.075, 0.002]","[0.0878, 0.0021]","[0.0388, 0.0015]","[0.1415, 0.0026]"
VAE-CF,200,1,0.0001,300,Cosine,0.2,1,,"[0.0368, 0.001]","[0.0059, 0.0002]","[0.0051, 0.0002]","[0.0046, 0.0001]","[0.0073, 0.0003]","[0.0031, 0.0001]","[0.0111, 0.0008]","[0.0376, 0.0014]","[0.0481, 0.0016]","[0.057, 0.0017]","[0.0238, 0.0012]","[0.095, 0.0022]"
VAE-CF,200,1,0.001,300,Cosine,0.2,1,,"[0.02, 0.0007]","[0.003, 0.0001]","[0.0027, 0.0001]","[0.0025, 0.0001]","[0.0036, 0.0002]","[0.002, 0.0001]","[0.0037, 0.0004]","[0.0191, 0.001]","[0.0254, 0.0012]","[0.0312, 0.0013]","[0.0114, 0.0008]","[0.0595, 0.0018]"
VAE-CF,200,1,0.01,300,Cosine,0.2,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0149, 0.0009]","[0.0203, 0.0011]","[0.0269, 0.0012]","[0.0083, 0.0007]","[0.0538, 0.0017]"
VAE-CF,200,1,0.1,300,Cosine,0.2,1,,"[0.0179, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0024, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0212, 0.0011]","[0.0264, 0.0012]","[0.0079, 0.0007]","[0.0557, 0.0017]"
VAE-CF,50,1,1E-05,300,Cosine,0.3,1,,"[0.0471, 0.0011]","[0.0072, 0.0002]","[0.0063, 0.0002]","[0.0057, 0.0001]","[0.009, 0.0004]","[0.0039, 0.0001]","[0.0142, 0.0009]","[0.0468, 0.0016]","[0.0608, 0.0018]","[0.0726, 0.002]","[0.0301, 0.0013]","[0.1231, 0.0025]"
VAE-CF,50,1,0.0001,300,Cosine,0.3,1,,"[0.0286, 0.0008]","[0.0046, 0.0002]","[0.004, 0.0001]","[0.0037, 0.0001]","[0.005, 0.0003]","[0.0027, 0.0001]","[0.0059, 0.0005]","[0.0288, 0.0013]","[0.0381, 0.0014]","[0.0462, 0.0016]","[0.0154, 0.0009]","[0.0823, 0.0021]"
VAE-CF,50,1,0.001,300,Cosine,0.3,1,,"[0.0216, 0.0007]","[0.0033, 0.0002]","[0.003, 0.0001]","[0.0029, 0.0001]","[0.0039, 0.0002]","[0.002, 0.0001]","[0.0047, 0.0005]","[0.0202, 0.001]","[0.0275, 0.0012]","[0.035, 0.0014]","[0.0122, 0.0008]","[0.0616, 0.0018]"
VAE-CF,50,1,0.01,300,Cosine,0.3,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0149, 0.0009]","[0.02, 0.001]","[0.0256, 0.0012]","[0.0081, 0.0007]","[0.0539, 0.0017]"
VAE-CF,50,1,0.1,300,Cosine,0.3,1,,"[0.0166, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0027, 0.0002]","[0.0017, 0.0001]","[0.0026, 0.0003]","[0.0145, 0.0009]","[0.0201, 0.001]","[0.0247, 0.0012]","[0.0086, 0.0007]","[0.0517, 0.0016]"
VAE-CF,100,1,1E-05,300,Cosine,0.3,1,,"[0.0513, 0.0012]","[0.0081, 0.0002]","[0.0069, 0.0002]","[0.0062, 0.0002]","[0.0103, 0.0004]","[0.0042, 0.0001]","[0.0158, 0.0009]","[0.0529, 0.0017]","[0.0671, 0.0019]","[0.0799, 0.0021]","[0.0341, 0.0014]","[0.1305, 0.0026]"
