domain,root,NDCG
Yahoo,1,"[0.1612, 0.0006]"
Yahoo,1.1,"[0.2726, 0.0007]"
Yahoo,1.2,"[0.3368, 0.0007]"
Yahoo,1.3,"[0.3242, 0.0007]"
Yahoo,0.7,"[0.1394, 0.0006]"
Yahoo,0.8,"[0.1425, 0.0006]"
Yahoo,0.9,"[0.1481, 0.0006]"
Yahoo,1,"[0.1613, 0.0006]"
Yahoo,1.1,"[0.2726, 0.0007]"
Yahoo,1.2,"[0.3369, 0.0007]"
Yahoo,1.3,"[0.3243, 0.0007]"
Yahoo,0.7,"[0.1396, 0.0006]"
Yahoo,0.8,"[0.1427, 0.0006]"
Yahoo,0.9,"[0.1484, 0.0006]"
Yahoo,1,"[0.1617, 0.0006]"
Yahoo,1.1,"[0.2732, 0.0007]"
Yahoo,1.2,"[0.3375, 0.0007]"
Yahoo,1.3,"[0.3251, 0.0007]"
